Customer ID,Recency,Frequency,Monetary,Cluster,Churn
12742,261,1,1201.52,1,1
12744,95,4,4037.77,0,1
12745,122,3,925.41,0,1
12746,176,1,254.55,1,1
12747,5,16,5080.53,0,0
12748,1,144,22879.66,3,0
12749,35,4,2806.48,0,0
12751,80,1,268.27,0,0
12755,1,10,5218.709999999999,0,0
12758,95,5,7111.650000000001,0,1
12759,22,5,3489.3,0,0
12760,91,1,347.8,0,1
12761,93,2,782.95,0,1
12763,5,1,320.08,0,0
12765,108,6,1404.58,0,1
12766,2,3,3078.65,0,0
12767,11,1,949.82,0,0
12768,86,1,168.69000000000003,0,0
12770,92,1,1895.0,0,1
12771,121,1,282.3,0,1
12773,200,1,124.25,1,1
12774,171,1,98.7,1,1
12775,24,2,300.08,0,0
12776,303,1,55.5,1,1
12777,93,1,519.45,0,1
12778,32,3,953.45,0,0
12779,7,7,2740.91,0,0
12780,234,1,337.4,1,1
12782,10,6,2287.32,0,0
12784,165,1,1230.33,1,1
12785,171,2,788.45,1,1
12786,245,1,728.5,1,1
12787,49,1,398.52,0,0
12788,99,4,444.9,0,1
12789,148,2,181.5,1,1
12790,46,1,266.93,0,0
12791,9,6,863.51,0,0
12792,170,1,426.47,1,1
12793,7,2,471.85,0,0
12796,264,1,381.0,1,1
12797,1,2,552.08,0,0
12798,57,1,1533.8899999999999,0,0
12799,165,1,219.35,1,1
12800,106,3,584.25,0,1
12801,136,1,1071.82,0,1
12802,78,6,1988.84,0,0
12803,29,1,1092.81,0,0
12804,101,2,327.02,0,1
12805,17,4,1434.95,0,0
12806,71,4,2878.96,0,0
12807,19,1,330.35,0,0
12808,4,3,422.45,0,0
12809,201,2,1266.63,1,1
12810,170,2,534.99,1,1
12811,14,2,519.05,0,0
12813,137,3,1687.8,0,1
12817,35,2,524.94,0,0
12819,94,1,540.52,0,1
12820,33,7,1747.18,0,0
12821,247,1,128.07999999999998,1,1
12823,30,13,4742.0,0,0
12825,157,2,518.63,1,1
12826,1,6,1481.03,0,0
12829,186,1,92.30000000000001,1,1
12831,99,2,236.06,0,1
12835,63,41,6043.31,3,0
12836,25,11,3972.76,0,0
12837,205,1,554.31,1,1
12838,9,9,2715.35,0,0
12839,3,13,4480.31,0,0
12840,73,3,1315.2,0,0
12841,5,17,3518.33,0,0
12842,40,2,799.0,0,0
12843,18,22,4886.15,0,0
12844,78,2,322.64,0,0
12846,318,1,15.58,1,1
12847,23,1,765.36,0,0
12848,311,1,208.0,1,1
12849,17,4,2039.67,0,0
12850,81,1,330.0,0,0
12851,113,1,148.95,0,1
12853,63,5,1950.4,0,0
12854,197,4,1669.52,1,1
12855,8,4,612.84,0,0
12857,72,4,2581.6,0,0
12858,19,1,177.92,0,0
12859,94,1,575.1,0,1
12860,329,1,55.47,1,1
12861,255,1,68.25,1,1
12862,61,2,1008.3199999999999,0,0
12863,15,5,2271.35,0,0
12864,144,1,152.45,1,1
12865,14,2,1755.24,0,0
12866,110,2,668.23,0,1
12867,33,6,3876.47,0,0
12868,9,3,640.0,0,0
12869,317,1,337.66999999999996,1,1
12870,11,3,1676.95,0,0
12871,75,1,363.38,0,0
12872,1,11,3085.52,0,0
12873,33,2,1653.3,0,0
12874,21,2,948.42,0,0
12875,107,3,1013.76,0,1
12876,30,2,1863.77,0,0
12877,37,8,1419.4,0,0
12880,17,2,640.13,0,0
12887,19,1,222.4,0,0
12889,17,4,385.46000000000004,0,0
12890,23,1,336.8,0,0
12891,94,8,509.5,0,1
12892,32,1,263.38,0,0
12894,211,1,157.35,1,1
12897,17,2,297.75,0,0
12898,99,2,310.96000000000004,0,1
12899,49,1,366.4,0,0
12900,58,1,340.33,0,0
12903,64,1,833.53,0,0
12905,212,2,1018.42,1,1
12907,31,2,508.91,0,0
12908,16,3,1026.0,0,0
12909,60,3,924.52,0,0
12910,15,5,2721.48,0,0
12911,187,1,1680.47,1,1
12913,4,9,4217.2300000000005,0,0
12914,36,1,223.98,0,0
12915,8,3,811.1,0,0
12916,78,3,1647.87,0,0
12917,36,5,3765.2,0,0
12918,262,1,10953.5,1,1
12920,207,3,323.86,1,1
12921,2,39,19333.95,3,0
12923,26,2,612.9,0,0
12924,29,8,1535.7,0,0
12925,228,1,35.28,1,1
12926,47,4,1548.46,0,0
12927,30,1,197.31,0,0
12928,14,7,2242.19,0,0
12931,16,42,50291.38,3,0
12932,175,8,1698.56,1,1
12933,16,5,1079.5,0,0
12934,372,1,181.65,1,1
12935,11,8,2083.16,0,0
12937,99,5,1593.34,0,1
12939,15,12,13683.0,0,0
12941,360,1,377.49,1,1
12942,1,1,258.75,0,0
12943,194,2,496.5,1,1
12945,292,1,437.16,1,1
12946,72,1,324.45,0,0
12947,9,1,304.04,0,0
12948,366,2,252.48000000000002,1,1
12949,18,14,11359.48,0,0
12951,22,9,2149.65,0,0
12953,158,1,498.96000000000004,1,1
12954,274,1,162.45,1,1
12956,320,3,413.82,1,1
12957,177,5,4689.43,1,1
12958,36,2,539.49,0,0
12959,120,1,150.95,0,1
12960,49,4,1322.07,0,0
12961,15,1,211.99,0,0
12963,1,5,1744.96,0,0
12964,73,1,132.24,0,0
12967,7,2,2646.02,0,0
12969,238,1,122.45,1,1
12970,16,6,1072.73,0,0
12971,2,33,4782.88,3,0
12972,49,4,1161.2,0,0
12973,49,1,385.55,0,0
12974,201,1,264.15,1,1
12975,72,6,2100.09,0,0
12976,14,7,2417.7799999999997,0,0
12977,137,3,478.39,0,1
12978,21,5,2502.82,0,0
12979,365,1,517.7,1,1
12980,22,12,8870.880000000001,0,0
12982,30,7,2354.27,0,0
12983,234,1,490.08000000000004,1,1
12986,64,10,2729.84,0,0
12987,56,3,753.51,0,0
12989,60,18,6627.64,0,0
12990,53,4,546.0,0,0
12991,25,1,261.06,0,0
12992,361,1,93.35000000000001,1,1
12993,81,4,844.87,0,0
12996,11,1,355.5,0,0
12997,30,4,884.02,0,0
12998,128,3,920.08,0,1
13000,361,1,497.65000000000003,1,1
13001,40,20,14353.28,0,0
13002,52,2,293.18,0,0
13004,22,18,5994.94,0,0
13005,67,2,485.98,0,0
13007,215,1,175.25,1,1
13008,33,2,382.66,0,0
13009,308,1,234.0,1,1
13010,10,2,330.12,0,0
13011,8,1,50.550000000000004,0,0
13012,65,3,1310.99,0,0
13013,7,18,7814.83,0,0
13014,68,1,1914.8,0,0
13015,74,6,3240.14,0,0
13018,49,7,2485.46,0,0
13019,15,6,1229.95,0,0
13020,198,2,618.96,1,1
13021,10,8,2270.86,0,0
13022,65,1,65.3,0,0
13023,164,1,759.13,1,1
13024,106,2,555.87,0,1
13025,367,1,323.39,1,1
13026,124,4,757.72,0,1
13027,21,13,10423.2,0,0
13029,10,2,679.8,0,0
13030,4,1,427.74,0,0
13031,43,5,3419.27,0,0
13032,28,7,1833.37,0,0
13033,65,1,30.0,0,0
13034,5,2,279.91,0,0
13035,67,1,442.32,0,0
13036,320,1,307.1,1,1
13037,35,9,3033.88,0,0
13039,220,4,1010.73,1,1
13041,86,4,799.13,0,0
13042,234,3,1556.54,1,1
13044,128,10,4293.43,0,1
13045,37,2,503.64,0,0
13046,92,1,319.94,0,1
13047,9,17,5557.62,0,0
13048,72,5,2248.3,0,0
13049,25,2,751.5600000000001,0,0
13050,2,19,6507.67,0,0
13051,214,2,155.8,1,1
13052,56,6,2820.38,0,0
13053,257,1,127.65,1,1
13055,65,1,1106.7,0,0
13056,187,1,209.48,1,1
13057,166,3,722.09,1,1
13059,49,9,2119.77,0,0
13063,116,1,188.4,0,1
13064,186,2,561.25,1,1
13065,9,5,1055.05,0,0
13067,45,2,393.05,0,0
13069,5,16,5247.01,0,0
13070,95,3,522.9,0,1
13071,248,1,129.22,1,1
13073,47,2,418.08,0,0
13074,147,4,1378.74,1,1
13076,93,1,135.4,0,1
13077,2,8,2335.4,0,0
13078,2,32,16904.510000000002,3,0
13079,53,1,199.08,0,0
13080,37,3,222.65,0,0
13081,7,19,30867.77,3,0
13082,60,12,3722.12,0,0
13083,61,1,91.67999999999999,0,0
13084,127,1,122.39999999999999,0,1
13085,315,6,2017.2,1,1
13086,18,1,439.33000000000004,0,0
13087,362,1,313.64,1,1
13088,53,1,236.11,0,0
13089,4,109,57912.03,3,0
13090,1,13,5192.27,0,0
13091,365,2,1976.0,1,1
13092,50,7,1662.45,0,0
13093,9,48,47111.18,3,0
13094,4,2,505.8,0,0
13096,30,1,419.70000000000005,0,0
13097,24,18,7378.8,0,0
13101,134,3,594.21,0,1
13102,1,14,5272.83,0,0
13103,73,2,465.70000000000005,0,0
13104,51,3,610.62,0,0
13105,72,1,72.0,0,0
13106,49,1,526.96,0,0
13107,49,5,3721.45,0,0
13108,8,2,748.46,0,0
13109,187,1,347.49,1,1
13110,73,5,1468.8000000000002,0,0
13111,354,1,321.88000000000005,1,1
13112,177,1,20.6,1,1
13113,2,14,6379.7699999999995,0,0
13114,366,1,234.38,1,1
13115,15,6,3199.92,0,0
13117,1,12,1658.8999999999999,0,0
13118,12,4,1217.6,0,0
13119,304,1,134.9,1,1
13123,108,2,506.75,0,1
13124,21,1,916.12,0,0
13125,159,1,158.57,1,1
13126,2,7,1898.6100000000001,0,0
13128,267,1,263.5,1,1
13129,88,2,233.25,0,0
13131,54,4,2240.47,0,0
13133,95,1,90.65,0,1
13134,38,2,681.65,0,0
13135,127,1,275.45,0,1
13136,11,8,3666.9500000000003,0,0
13137,22,8,4062.29,0,0
13138,8,2,504.85,0,0
13139,73,1,3138.04,0,0
13140,2,3,791.96,0,0
13141,21,12,5279.83,0,0
13143,220,1,405.1,1,1
13144,67,1,24.4,0,0
13145,8,4,805.0,0,0
13148,25,14,4914.6900000000005,0,0
13150,120,3,449.96999999999997,0,1
13151,261,2,1322.8700000000001,1,1
13152,53,7,2146.38,0,0
13154,35,3,1624.84,0,0
13155,4,3,778.42,0,0
13156,21,3,1586.54,0,0
13157,45,5,3946.14,0,0
13158,24,1,307.12,0,0
13161,136,1,366.13,0,1
13162,16,12,7587.2,0,0
13163,246,1,17.65,1,1
13164,205,2,372.2,1,1
13165,49,1,429.68,0,0
13166,50,1,466.98,0,0
13167,26,1,333.82,0,0
13168,178,1,556.12,1,1
13169,198,1,127.2,1,1
13172,36,1,69.6,0,0
13173,3,10,2285.7,0,0
13174,5,10,6677.81,0,0
13175,218,2,831.45,1,1
13177,66,1,229.75,0,0
13178,33,10,8333.72,0,0
13179,254,1,572.3100000000001,1,1
13180,243,1,86.10000000000001,1,1
13181,17,1,359.69,0,0
13183,30,6,3078.4,0,0
13187,260,3,130.99,1,1
13190,180,3,570.66,1,1
13191,294,1,164.69,1,1
13192,171,4,1646.6399999999999,1,1
13194,57,1,412.08,0,0
13195,50,1,172.38,0,0
13196,79,3,1271.06,0,0
13197,245,1,373.01000000000005,1,1
13198,23,2,1572.99,0,0
13199,2,30,6615.77,0,0
13201,138,4,1240.6100000000001,0,1
13202,30,7,1580.3,0,0
13203,22,6,1778.79,0,0
13204,367,1,966.6600000000001,1,1
13205,79,1,2803.2,0,0
13206,36,13,8377.32,0,0
13207,87,2,285.6,0,0
13208,85,3,764.6,0,0
13209,150,5,2617.9,1,1
13211,17,7,1531.9,0,0
13213,19,6,2330.94,0,0
13214,53,7,3264.23,0,0
13215,38,1,81.6,0,0
13217,291,1,132.5,1,1
13219,254,1,76.23,1,1
13220,211,1,516.8,1,1
13222,213,1,88.5,1,1
13223,59,4,805.9200000000001,0,0
13225,57,9,9796.23,0,0
13226,29,1,204.25,0,0
13230,1,17,3553.81,0,0
13233,56,2,571.34,0,0
13234,308,2,356.95,1,1
13237,23,1,643.0,0,0
13238,66,2,305.9,0,0
13239,73,4,1265.1299999999999,0,0
13240,1,5,1074.87,0,0
13241,47,1,115.58,0,0
13242,87,4,429.0,0,0
13243,85,4,677.97,0,0
13245,68,1,558.72,0,0
13246,29,5,1400.1299999999999,0,0
13249,37,6,897.52,0,0
13250,96,2,256.04,0,1
13251,38,1,252.68,0,0
13252,30,2,399.3,0,0
13253,66,2,1920.71,0,0
13254,12,1,51.410000000000004,0,0
13255,9,2,504.95,0,0
13257,72,1,149.75,0,0
13258,15,2,336.59999999999997,0,0
13259,33,8,1141.06,0,0
13262,25,2,373.16,0,0
13263,29,4,1250.6200000000001,0,0
13264,78,1,722.5600000000001,0,0
13266,49,7,2300.78,0,0
13267,2,18,5236.77,0,0
13269,5,14,3545.47,0,0
13270,2,1,590.0,0,0
13274,45,1,360.85,0,0
13275,19,2,241.66,0,0
13276,33,3,1348.33,0,0
13277,16,3,264.9,0,0
13278,35,3,893.12,0,0
13280,15,4,1507.77,0,0
13281,75,1,350.85,0,0
13282,42,1,181.05,0,0
13283,203,2,279.7,1,1
13285,236,2,655.47,1,1
13286,236,1,734.91,1,1
13287,239,3,781.59,1,1
13288,79,5,927.61,0,0
13289,359,1,307.95,1,1
13290,74,1,208.63,0,0
13291,50,10,2959.73,0,0
13292,51,3,415.57,0,0
13293,28,6,1192.94,0,0
13294,282,1,815.79,1,1
13295,12,3,900.77,0,0
13296,59,5,705.11,0,0
13297,21,3,2278.77,0,0
13299,59,2,1076.2,0,0
13300,24,2,913.62,0,0
13302,162,1,95.45,1,1
13303,36,1,61.72,0,0
13304,91,3,917.57,0,1
13305,8,7,1753.85,0,0
13306,66,1,53.65,0,0
13307,123,2,258.34,0,1
13308,232,1,284.86,1,1
13309,28,1,249.58,0,0
13310,16,2,409.17,0,0
13312,87,1,124.75,0,0
13313,115,7,1890.0,0,1
13315,325,1,310.26,1,1
13316,28,6,7213.84,0,0
13317,21,13,4212.411,0,0
13319,1,34,11236.95,3,0
13320,70,2,679.4,0,0
13324,64,8,3391.52,0,0
13326,68,1,281.76,0,0
13327,1,14,6251.71,0,0
13329,2,7,4323.97,0,0
13330,91,3,1665.25,0,1
13331,37,1,262.4,0,0
13333,47,3,1015.74,0,0
13334,172,2,2726.93,1,1
13337,182,1,1575.26,1,1
13338,177,3,1958.6,1,1
13340,53,5,11364.08,0,0
13346,98,6,299.4,0,1
13357,130,4,3228.41,0,1
13359,39,1,603.75,0,0
13360,67,4,1553.65,0,0
13361,108,2,1450.5,0,1
13362,14,3,2303.33,0,0
13363,45,1,731.36,0,0
13367,67,1,510.20000000000005,0,0
13368,50,2,498.1,0,0
13369,1,1,308.28000000000003,0,0
13370,7,1,754.87,0,0
13371,141,2,2297.66,0,1
13373,51,3,4274.94,0,0
13374,50,2,422.8,0,0
13375,80,1,1013.58,0,0
13377,32,2,1552.88,0,0
13380,68,1,62.4,0,0
13381,15,6,4585.06,0,0
13382,64,4,1164.59,0,0
13383,179,1,305.28000000000003,1,1
13384,26,4,2528.9,0,0
13386,50,2,835.46,0,0
13387,53,1,189.44,0,0
13388,239,1,508.55,1,1
13392,313,1,91.14,1,1
13393,219,4,1131.45,1,1
13394,15,11,4101.68,0,0
13395,36,2,872.51,0,0
13397,73,5,1647.74,0,0
13398,84,1,213.0,0,0
13399,100,3,275.4,0,1
13400,218,1,310.83,1,1
13402,8,3,913.9000000000001,0,0
13403,23,2,154.5,0,0
13405,117,3,641.36,0,1
13406,63,2,568.92,0,0
13407,214,3,2244.7,1,1
13408,7,46,23616.422,3,0
13410,29,4,1198.9,0,0
13412,256,1,487.34999999999997,1,1
13413,275,6,429.44,1,1
13414,99,3,1103.64,0,1
13415,108,4,800.67,0,1
13416,372,1,228.3,1,1
13417,183,4,1028.66,1,1
13418,8,15,6106.17,0,0
13421,42,6,2252.04,0,0
13423,64,1,217.03,0,0
13424,85,1,572.77,0,0
13425,144,2,1779.42,1,1
13426,18,12,4526.06,0,0
13427,113,3,423.93,0,1
13428,150,2,281.51,1,1
13431,42,6,2047.14,0,0
13432,207,2,439.1,1,1
13433,137,4,658.3199999999999,0,1
13434,21,3,1132.6200000000001,0,0
13435,12,2,665.34,0,0
13438,183,1,46.5,1,1
13439,24,2,702.9,0,0
13440,59,7,1295.25,0,0
13441,67,1,424.26,0,0
13442,303,3,419.87,1,1
13443,84,6,1280.16,0,0
13444,10,2,631.6800000000001,0,0
13445,262,1,241.89999999999998,1,1
13446,66,11,3881.89,0,0
13448,9,9,5701.5,0,0
13450,10,7,2076.32,0,0
13451,17,6,4214.77,0,0
13452,108,1,139.8,0,1
13453,38,1,424.71,0,0
13454,277,1,219.87,1,1
13455,2,5,1847.59,0,0
13457,324,2,148.22,1,1
13458,15,2,2312.7,0,0
13459,260,2,1160.4099999999999,1,1
13461,43,3,2715.0,0,0
13462,46,4,1002.35,0,0
13464,30,5,2422.96,0,0
13465,82,2,931.12,0,0
13466,44,4,705.45,0,0
13468,4,38,7685.54,3,0
13469,289,1,82.4,1,1
13472,99,2,592.24,0,1
13473,210,6,2235.12,1,1
13474,79,2,434.2,0,0
13476,42,3,823.0,0,0
13477,91,5,1379.59,0,1
13478,105,5,2215.78,0,1
13479,88,2,550.42,0,0
13480,52,2,627.82,0,0
13481,10,6,2026.28,0,0
13482,263,1,151.45,1,1
13484,19,2,476.92,0,0
13485,12,10,2564.98,0,0
13487,141,2,271.47,1,1
13488,3,11,6619.57,0,0
13490,290,1,154.25,1,1
13491,8,18,3350.7400000000002,0,0
13495,4,6,3329.39,0,0
13497,4,5,972.28,0,0
13498,366,1,327.38,1,1
13500,37,1,299.53,0,0
13501,122,2,1544.79,0,1
13502,51,2,488.5,0,0
13503,115,5,1688.54,0,1
13506,5,4,1180.68,0,0
13508,278,1,176.07999999999998,1,1
13509,143,1,135.0,1,1
13510,11,7,2766.73,0,0
13511,312,1,282.76,1,1
13512,23,3,462.18,0,0
13513,77,2,619.49,0,0
13514,64,3,663.7,0,0
13515,85,2,374.7,0,0
13516,53,1,295.85,0,0
13519,78,1,220.46,0,0
13520,7,6,3285.05,0,0
13523,2,2,1136.64,0,0
13526,374,2,1182.0,1,1
13527,54,5,2396.23,0,0
13530,270,1,402.97999999999996,1,1
13531,2,5,1254.72,0,0
13534,15,10,1850.82,0,0
13535,38,1,89.5,0,0
13537,61,2,717.85,0,0
13538,32,5,1831.88,0,0
13539,56,4,938.02,0,0
13540,103,3,632.39,0,1
13541,63,2,785.25,0,0
13542,12,17,4006.17,0,0
13543,270,2,1439.6100000000001,1,1
13544,47,4,537.59,0,0
13545,26,2,374.64,0,0
13546,18,2,465.15,0,0
13547,44,1,175.53,0,0
13548,107,1,226.57999999999998,0,1
13549,23,1,87.6,0,0
13550,19,1,349.51,0,0
13551,302,1,152.39999999999998,1,1
13552,64,10,3238.85,0,0
13553,310,1,517.8,1,1
13554,16,7,1638.28,0,0
13555,14,9,4849.91,0,0
13556,65,2,200.82,0,0
13557,51,11,2448.2,0,0
13559,148,2,990.0,1,1
13561,33,10,1678.86,0,0
13562,37,5,3038.85,0,0
13564,4,35,15500.53,3,0
13565,47,1,174.57999999999998,0,0
13566,70,3,833.41,0,0
13567,64,4,1083.69,0,0
13569,3,3,520.03,0,0
13571,18,14,2454.2200000000003,0,0
13573,15,4,622.07,0,0
13574,47,1,421.25,0,0
13576,9,11,4834.400000000001,0,0
13577,18,7,1801.68,0,0
13578,45,1,147.66,0,0
13579,5,4,1072.0,0,0
13580,42,1,107.75,0,0
13581,50,1,162.53,0,0
13582,25,2,241.68,0,0
13583,315,1,664.001,1,1
13584,134,2,250.05,0,1
13585,166,3,684.54,1,1
13586,177,1,131.53,1,1
13587,85,3,961.1,0,0
13589,85,4,741.09,0,0
13590,11,12,4367.67,0,0
13591,71,4,976.8100000000001,0,0
13593,23,9,3486.61,0,0
13594,121,1,136.35000000000002,0,1
13595,152,3,818.22,1,1
13597,36,2,396.71,0,0
13598,131,4,609.42,0,1
13599,2,14,5013.96,0,0
13600,270,1,298.9,1,1
13601,28,2,491.82,0,0
13602,17,3,596.28,0,0
13604,294,1,717.62,1,1
13605,23,2,522.67,0,0
13607,38,1,400.3,0,0
13608,176,1,236.2,1,1
13609,229,1,167.35,1,1
13610,23,7,1044.0,0,0
13611,10,7,2147.73,0,0
13612,268,1,818.29,1,1
13613,88,5,1039.8500000000001,0,0
